disease,symptoms
pyelonephritis,"suprapubic pain, sharp abdominal pain, vomiting, nausea, painful urination, frequent urination, lower abdominal pain, blood in urine, back pain, low back pain, side pain"
intestinal obstruction,"retention of urine, sharp abdominal pain, vomiting, nausea, vaginal itching, pain of the anus, burning abdominal pain, stomach bloating, constipation"
uterine atony,"sharp abdominal pain, lower abdominal pain, blood in urine, intermenstrual bleeding, pain during pregnancy, problems during pregnancy, spotting or bleeding during pregnancy, uterine contractions, back cramps or spasms"
smoking or tobacco addiction,"shortness of breath, sharp chest pain, cough, abusing alcohol, drug abuse, headache, smoking problems, excessive anger, coughing up sputum, hemoptysis, hurts to breath"
esophageal cancer,"shortness of breath, hoarse voice, sharp abdominal pain, decreased appetite, stomach bloating"
pilonidal cyst,"skin swelling, skin growth, irregular appearing scalp, pain of the anus, pelvic pain, bones are painful, ache all over, lower body pain"
hyperosmotic hyperketotic state,"cough, frequent urination, weakness"
scleroderma,"feeling ill, lip swelling, abnormal appearing skin, skin lesion, skin growth, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation"
cystic fibrosis,"cough, feeling ill, intermenstrual bleeding, decreased appetite"
adjustment reaction,"anxiety and nervousness, depression, insomnia, hostile behavior, restlessness, excessive anger, delusions or hallucinations, fears and phobias, nightmares"
rocky mountain spotted fever,"headache, wrist pain"
acute glaucoma,"diminished vision, double vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision, eye redness, blindness"
dislocation of the patella,"knee pain, knee swelling, knee stiffness or tightness"
tietze syndrome,"shortness of breath, sharp chest pain, chest tightness, cough, nausea, loss of sensation, difficulty breathing, rib pain"
liver cancer,"groin mass, sharp abdominal pain, decreased appetite, upper abdominal pain, stomach bloating"
inguinal hernia,"groin mass, symptoms of the scrotum and testes, swelling of scrotum, pain in testicles, mass in scrotum, sharp abdominal pain, lower abdominal pain, ache all over, swollen abdomen, groin pain"
multiple myeloma,"lip swelling, problems with movement, weakness, disturbance of memory, fatigue"
pulmonary congestion,"shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, decreased heart rate, fever"
pharyngitis,"hoarse voice, sore throat, cough, wheezing, fever"
fracture of the shoulder,"arm pain, arm stiffness or tightness, neck swelling, bones are painful, shoulder pain, shoulder stiffness or tightness, shoulder swelling"
drug abuse,"anxiety and nervousness, depression, depressive or psychotic symptoms, abusing alcohol, hostile behavior, drug abuse, smoking problems, delusions or hallucinations, sweating, antisocial behavior"
histoplasmosis,"cough, elbow weakness, lacrimation"
spinocerebellar ataxia,"anxiety and nervousness, dizziness, abnormal involuntary movements, problems with movement"
erythema multiforme,"difficulty in swallowing, vomiting, mouth ulcer, fever, skin rash"
mittelschmerz,"sharp abdominal pain, vomiting, diarrhea, lower abdominal pain, pelvic pain, painful menstruation"
thalassemia,"insomnia, elbow weakness"
uterine fibroids,"sharp abdominal pain, involuntary urination, lower abdominal pain, intermenstrual bleeding, pelvic pain, cramps and spasms, heavy menstrual flow, unpredictable menstruation, painful menstruation"
chronic sinusitis,"sore throat, cough, headache, facial pain, ear pain, frontal headache, fever, congestion in chest, sinus congestion, painful sinuses"
premenstrual tension syndrome,"depressive or psychotic symptoms, headache, lower abdominal pain, back pain, unpredictable menstruation, premenstrual tension or irritability"
intestinal disease,"sharp chest pain, fainting, sharp abdominal pain, vomiting, nausea, diarrhea, regurgitation, burning abdominal pain, regurgitation.1"
chronic obstructive pulmonary disease (copd),"shortness of breath, sharp chest pain, chest tightness, sore throat, cough, nasal congestion, wheezing, fever, coughing up sputum, coryza, congestion in chest"
conduct disorder,"depression, depressive or psychotic symptoms, lack of growth, abusing alcohol, fainting, hostile behavior, excessive anger, seizures, temper problems, hysterical behavior"
pelvic fistula,"dizziness, elbow weakness, vaginal discharge"
ependymoma,"emotional symptoms, headache, diminished vision, pain in eye"
factitious disorder,"depression, depressive or psychotic symptoms, elbow weakness, disturbance of memory"
muscle spasm,"sharp chest pain, abnormal involuntary movements, leg pain, headache, arm pain, back pain, neck pain, low back pain, loss of sensation, muscle cramps, contractures, or spasms"
food allergy,"cough, nasal congestion, vomiting, hand or finger swelling, lip swelling, abnormal appearing skin, allergic reaction, itching of skin, skin rash"
degenerative disc disease,"leg pain, hip pain, arm pain, back pain, neck pain, low back pain, loss of sensation, paresthesia, shoulder pain, lower body pain, joint pain"
hypertension of pregnancy,"headache, pain during pregnancy, heartburn, problems during pregnancy, spotting or bleeding during pregnancy, uterine contractions"
injury to the hip,"leg pain, hip pain, hand or finger swelling, neck pain"
hyperopia,"difficulty speaking, eye deviation, diminished vision, symptoms of eye, spots or clouds in vision, eye redness"
thoracic outlet syndrome,"sharp chest pain, hand or finger pain, arm pain, decreased appetite, loss of sensation, shoulder pain"
psoriasis,"skin swelling, abnormal appearing skin, skin lesion, skin growth, irregular appearing scalp, skin moles, joint pain, itching of skin, skin dryness, peeling, scaliness, or roughness, itchy scalp, skin rash"
viral warts,"skin swelling, lip swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, skin moles, warts, bumps on penis"
bladder cancer,"retention of urine, groin mass, mass in scrotum, blood in urine, excessive urination at night, symptoms of bladder, bladder mass"
orbital cellulitis,"diminished hearing, symptoms of eye, pain in eye, peripheral edema, eye redness, fever, swollen eye"
esophagitis,"shortness of breath, sharp chest pain, chest tightness, sore throat, cough, difficulty in swallowing, sharp abdominal pain, vomiting, nausea, burning abdominal pain, heartburn, upper abdominal pain"
dislocation of the wrist,"depression, elbow weakness, hand or finger pain, arm pain"
sporotrichosis,"wrist pain, knee pain"
ascending cholangitis,"shortness of breath, retention of urine, jaundice, sharp abdominal pain, fever"
somatization disorder,"anxiety and nervousness, depression, dizziness, fainting, ache all over"
obstructive sleep apnea (osa),"shortness of breath, insomnia, abnormal involuntary movements, difficulty in swallowing, mouth dryness, weight gain, difficulty breathing, fatigue, sleepiness, apnea, abnormal breathing sounds, sweating"
spinal stenosis,"leg pain, hip pain, headache, arm pain, back pain, neck pain, low back pain, problems with movement, loss of sensation, paresthesia, shoulder pain, lower body pain"
lymphoma,"hoarse voice, groin mass, regurgitation, neck mass, itchy ear(s), fatigue, regurgitation.1"
interstitial lung disease,"shortness of breath, sore throat, cough, nasal congestion, headache, wheezing, fever, sleepiness, abnormal breathing sounds"
cornea infection,"lip swelling, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision, eye redness, lacrimation, itchiness of eye, eye burns or stings, swollen eye"
moyamoya disease,"depressive or psychotic symptoms, elbow weakness"
aphthous ulcer,"sore throat, cough, headache, toothache, mouth ulcer, fever, tongue lesions, mouth pain"
abscess of nose,"sore throat, cough, nasal congestion, irritable infant, vomiting, fever, coryza, sinus congestion"
ischemia of the bowel,"retention of urine, blood in stool, sharp abdominal pain, vomiting, nausea, burning abdominal pain, constipation"
bone disorder,"difficulty speaking, leg pain, back pain, knee pain, bones are painful, leg cramps or spasms, muscle stiffness or tightness"
trichiasis,"emotional symptoms, diminished vision, foreign body sensation in eye, eye redness, eyelid lesion or rash"
idiopathic absence of menstruation,"sharp abdominal pain, nausea, vaginal itching, lower abdominal pain, pelvic pain, heartburn, pain or soreness of breast, absence of menstruation, long menstrual periods"
anal fistula,"blood in stool, mass in scrotum, pain of the anus, rectal bleeding"
poisoning due to antipsychotics,"anxiety and nervousness, sharp chest pain, delusions or hallucinations"
hydrocephalus,"depressive or psychotic symptoms, abnormal involuntary movements, lack of growth, vomiting, headache, problems with movement, seizures"
diabetic ketoacidosis,"depressive or psychotic symptoms, sharp chest pain, sharp abdominal pain, vomiting, nausea, diarrhea, frequent urination, weakness, decreased appetite, fluid retention"
lymphogranuloma venereum,"sore throat, ear pain, knee lump or mass"
vaginismus,"suprapubic pain, sharp abdominal pain, pain during intercourse, lower abdominal pain, pelvic pain, vaginal pain"
eustachian tube dysfunction (ear disorder),"dizziness, sore throat, nasal congestion, diminished hearing, ear pain, ringing in ear, plugged feeling in ear, allergic reaction, abnormal breathing sounds, redness in ear, swollen or red tonsils"
gonorrhea,"sharp abdominal pain, vaginal itching, vaginal discharge, problems with movement, vaginal pain, penile discharge"
intestinal malabsorption,"cough, nasal congestion, flatulence, sharp abdominal pain, vomiting, diarrhea, allergic reaction"
acute respiratory distress syndrome (ards),"shortness of breath, depressive or psychotic symptoms, sharp chest pain, chest tightness, cough, wheezing, fever, difficulty breathing, chills"
chronic constipation,"retention of urine, blood in stool, sharp abdominal pain, vomiting, nausea, lower abdominal pain, pain of the anus, burning abdominal pain, changes in stool appearance, rectal bleeding, constipation"
rheumatoid arthritis,"hand or finger pain, wrist pain, hand or finger swelling, wrist swelling, peripheral edema, knee pain, ache all over, joint pain, elbow swelling, joint swelling"
ankylosing spondylitis,"leg pain, hip pain, back pain, low back pain, knee pain, elbow pain, paresthesia, ache all over, lower body pain, stiffness all over"
sensorineural hearing loss,"dizziness, hoarse voice, nasal congestion, diminished hearing, throat feels tight, ear pain, ringing in ear, plugged feeling in ear, itchy ear(s), fluid in ear"
myasthenia gravis,"shortness of breath, dizziness, double vision, weakness, slurring words, fatigue, coughing up sputum"
presbyopia,"difficulty speaking, diminished vision, symptoms of eye, pain in eye, abnormal movement of eyelid, foreign body sensation in eye, spots or clouds in vision"
iridocyclitis,"headache, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, lacrimation, eye burns or stings, cloudy eye"
envenomation from spider or animal bite,"skin swelling, hand or finger swelling, arm swelling, abnormal appearing skin, foot or toe swelling, paresthesia, allergic reaction, fluid retention, itching of skin"
anemia due to malignancy,"shortness of breath, difficulty in swallowing, flatulence, fatigue"
pain after an operation,"sharp chest pain, leg pain, sharp abdominal pain, vomiting, headache, nausea, lower abdominal pain, back pain, neck pain, low back pain, side pain"
chronic pancreatitis,"abusing alcohol, sharp abdominal pain, vomiting, nausea, diarrhea, skin growth, back pain, ache all over"
peritonitis,"shortness of breath, groin mass, sharp abdominal pain, vomiting, nausea, intermenstrual bleeding, back pain, side pain"
psychosexual disorder,"depression, involuntary urination, pain during intercourse, impotence, fatigue, loss of sex drive, premature ejaculation"
pityriasis rosea,"skin swelling, vaginal itching, abnormal appearing skin, itching of skin, warts, skin rash"
gum disease,"lip swelling, toothache, facial pain, mouth ulcer, peripheral edema, ear pain, jaw swelling, fever, gum pain, bleeding gums, pain in gums"
ulcerative colitis,"blood in stool, sharp abdominal pain, vomiting, nausea, diarrhea, lower abdominal pain, swollen lymph nodes, burning abdominal pain, rectal bleeding"
placenta previa,"involuntary urination, pain during pregnancy, spotting or bleeding during pregnancy, cramps and spasms"
bone cancer,"leg pain, low back pain, peripheral edema, problems with movement, fatigue"
volvulus,"depressive or psychotic symptoms, elbow weakness, sharp abdominal pain, vomiting"
myelodysplastic syndrome,"difficulty speaking, chills, fatigue"
diaper rash,"cough, nasal congestion, blood in stool, irritable infant, vomiting, diarrhea, fever, temper problems, pulling at ears, skin rash, diaper rash"
breast cancer,"hot flashes, bleeding or discharge from nipple, pain or soreness of breast, lump or mass of breast"
atrial flutter,"shortness of breath, sharp chest pain, chest tightness, palpitations, irregular heartbeat, frequent urination, swollen lymph nodes, increased heart rate"
mononeuritis,"leg pain, hand or finger pain, wrist pain, arm pain, foot or toe pain, ankle pain, elbow pain, loss of sensation, shoulder pain, hand or finger weakness"
spondylitis,"leg pain, hip pain, back pain, neck pain, low back pain, side pain, lower body pain, stiffness all over, back mass or lump"
tuberous sclerosis,"depressive or psychotic symptoms, elbow weakness, seizures"
vesicoureteral reflux,"suprapubic pain, involuntary urination, blood in urine, fever"
shingles (herpes zoster),"sharp chest pain, headache, abnormal appearing skin, skin lesion, facial pain, pain in eye, back pain, itching of skin, skin rash"
marijuana abuse,"anxiety and nervousness, depression, depressive or psychotic symptoms, difficulty speaking, abusing alcohol, hostile behavior, drug abuse, excessive anger, delusions or hallucinations, temper problems, fears and phobias, low self-esteem"
vertebrobasilar insufficiency,"sharp chest pain, dizziness, leg pain, back pain"
iron deficiency anemia,"dizziness, blood in stool, intermenstrual bleeding, regurgitation, weight gain, heartburn, weakness, fatigue, regurgitation.1, rectal bleeding, heavy menstrual flow"
lung contusion,"shortness of breath, sharp chest pain, back pain, ache all over"
ischemic heart disease,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, throat feels tight, peripheral edema, muscle pain, difficulty breathing, fatigue, lymphedema"
hemolytic anemia,"cough, nausea, skin growth, fatigue"
primary insomnia,"anxiety and nervousness, insomnia, abnormal involuntary movements, fatigue, delusions or hallucinations, sleepiness, abnormal breathing sounds"
kaposi sarcoma,"depression, elbow weakness"
delirium,"depression, depressive or psychotic symptoms, abnormal involuntary movements, difficulty speaking, hostile behavior, problems with movement, focal weakness, slurring words, disturbance of memory, delusions or hallucinations"
premature ventricular contractions (pvcs),"shortness of breath, sharp chest pain, chest tightness, palpitations, irregular heartbeat, fainting, impotence, sleepiness"
male genitalia infection,"swelling of scrotum, pain in testicles, mass in scrotum, irritable infant, abnormal appearing skin, bumps on penis"
premature atrial contractions (pacs),"shortness of breath, dizziness, palpitations, irregular heartbeat, fainting, fatigue, muscle swelling"
polycystic kidney disease,"retention of urine, sharp abdominal pain, blood in urine, skin growth, back pain, low back pain, side pain, kidney mass"
eating disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, acne or pimples, weight gain, difficulty eating, decreased appetite"
rosacea,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, symptoms of eye, skin moles, lymphedema, itching of skin, skin dryness, peeling, scaliness, or roughness"
lewy body dementia,"depressive or psychotic symptoms, abnormal involuntary movements, hostile behavior, disturbance of memory, delusions or hallucinations"
intracerebral hemorrhage,"depressive or psychotic symptoms, dizziness, vomiting, headache, nausea, diminished vision, weakness, blindness, focal weakness, seizures"
gastroparesis,"sharp chest pain, sharp abdominal pain, vomiting, nausea, regurgitation, burning abdominal pain, upper abdominal pain, regurgitation.1"
burn,"headache, hand or finger pain, wrist pain, wrist swelling, knee pain, skin irritation"
pulmonic valve disease,"shortness of breath, emotional symptoms"
g6pd enzyme deficiency,"cough, emotional symptoms"
indigestion,"sharp chest pain, sharp abdominal pain, vomiting, nausea, diarrhea, burning abdominal pain, heartburn, decreased appetite, stomach bloating"
callus,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, foot or toe pain, foot or toe swelling, irregular appearing nails, skin rash"
head injury,"dizziness, fainting, headache, lip swelling, facial pain, double vision, back pain, neck pain"
poisoning due to ethylene glycol,"depression, depressive or psychotic symptoms, abusing alcohol, fainting"
pneumoconiosis,"shortness of breath, dizziness, cough, fever"
persistent vomiting of unknown cause,"dizziness, abnormal involuntary movements, sharp abdominal pain, vomiting, nausea, diarrhea, fever"
ileus,"sharp abdominal pain, vomiting, headache, nausea, diarrhea, lower abdominal pain, pain of the anus, burning abdominal pain, constipation"
injury to the spinal cord,"retention of urine, headache, back pain, neck pain"
friedrich ataxia,"cough, ear pain, knee lump or mass"
angina,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, irregular heartbeat, hot flashes, arm pain, increased heart rate, lower body pain, sweating"
ear wax impaction,"cough, nasal congestion, diminished hearing, ear pain, ringing in ear, plugged feeling in ear, fluid in ear, fever, pulling at ears, sinus congestion"
tendinitis,"leg pain, hip pain, hand or finger pain, wrist pain, hand or finger swelling, arm pain, knee pain, foot or toe pain, ankle pain, shoulder pain"
panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
pulmonary hypertension,"shortness of breath, sharp chest pain, palpitations, cough, feeling ill, difficulty breathing, fatigue, hemoptysis, apnea"
coronary atherosclerosis,"shortness of breath, sharp chest pain, chest tightness, palpitations, irregular heartbeat, leg cramps or spasms, fatigue, burning chest pain"
transient ischemic attack,"depressive or psychotic symptoms, dizziness, difficulty speaking, headache, weakness, loss of sensation, focal weakness, symptoms of the face, disturbance of memory, paresthesia"
seborrheic keratosis,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, skin moles, itching of skin, skin irritation, warts, skin rash"
subconjunctival hemorrhage,"headache, facial pain, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, bleeding from eye"
colonic polyp,"blood in stool, flatulence, sharp abdominal pain, diarrhea, pain of the anus, heartburn, upper abdominal pain, rectal bleeding"
open wound of the ear,"dry lips, facial pain, ear pain, fluid in ear, bleeding from ear"
intertrigo (skin condition),"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin dryness, peeling, scaliness, or roughness, skin rash"
connective tissue disorder,"difficulty in swallowing, feeling ill, joint pain"
meningioma,"depressive or psychotic symptoms, dizziness, headache, weakness, disturbance of memory"
corneal abrasion,"white discharge from eye, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, lacrimation, itchiness of eye, eyelid swelling"
poisoning due to antidepressants,"depression, emotional symptoms, abusing alcohol, drug abuse"
syphilis,"headache, vaginal discharge, muscle pain, skin rash"
stomach cancer,"difficulty in swallowing, sharp abdominal pain, vomiting, nausea, diarrhea, burning abdominal pain, heartburn"
dislocation of the ankle,"emotional symptoms, foot or toe pain, ankle pain, ankle swelling"
mononucleosis,"sore throat, cough, nasal congestion, feeling ill, headache, swollen lymph nodes, fever, skin rash"
pituitary adenoma,"headache, nausea, pain in eye, muscle swelling"
tourette syndrome,"depressive or psychotic symptoms, abnormal involuntary movements, drug abuse, headache, allergic reaction"
pituitary disorder,"lack of growth, headache, hot flashes, pain in eye"
diverticulosis,"blood in stool, sharp abdominal pain, vomiting, nausea, diarrhea, lower abdominal pain, heartburn, upper abdominal pain, melena, rectal bleeding"
pyloric stenosis,"cough, vomiting, arm stiffness or tightness"
allergy to animals,"sore throat, cough, nasal congestion, cross-eyed, allergic reaction"
intussusception,"blood in stool, emotional symptoms, sharp abdominal pain"
toxoplasmosis,"emotional symptoms, diminished vision"
open wound of the cheek,"wrist pain, facial pain"
cyst of the eyelid,"skin growth, diminished vision, abnormal movement of eyelid, muscle swelling, mass on eyelid"
deviated nasal septum,"sore throat, nasal congestion, headache, facial pain, difficulty breathing, allergic reaction, apnea, abnormal breathing sounds, painful sinuses, nosebleed"
open wound of the back,"irregular heartbeat, skin lesion, weight gain, lower body pain"
open wound of the neck,"skin swelling, abnormal appearing skin, skin lesion, peripheral edema, ache all over"
subarachnoid hemorrhage,"dizziness, fainting, vomiting, headache, symptoms of eye, loss of sensation"
benign vaginal discharge (leukorrhea),"suprapubic pain, sharp abdominal pain, vaginal itching, painful urination, frequent urination, vaginal discharge, pain during pregnancy, burning abdominal pain, vaginal redness, problems during pregnancy"
birth trauma,"depressive or psychotic symptoms, emotional symptoms, arm stiffness or tightness"
amyotrophic lateral sclerosis (als),"abnormal involuntary movements, difficulty speaking, difficulty in swallowing, weakness, leg cramps or spasms"
paronychia,"hand or finger pain, hand or finger swelling, abnormal appearing skin, foot or toe pain, foot or toe swelling, hand or finger lump or mass, skin on leg or foot looks infected, sinus congestion, skin on arm or hand looks infected"
alzheimer disease,"depression, depressive or psychotic symptoms, difficulty speaking, hostile behavior, irregular appearing scalp, eye burns or stings, disturbance of memory, delusions or hallucinations"
deep vein thrombosis (dvt),"leg pain, arm swelling, abnormal appearing skin, leg swelling, foot or toe swelling, leg cramps or spasms, leg stiffness or tightness"
myoclonus,"insomnia, abnormal involuntary movements, seizures, muscle swelling"
polymyalgia rheumatica,"sharp chest pain, irregular heartbeat, difficulty in swallowing, leg pain, shoulder pain, fatigue"
tricuspid valve disease,"anxiety and nervousness, emotional symptoms"
conversion disorder,"anxiety and nervousness, depression, cough, seizures"
viral exanthem,"cough, nasal congestion, skin swelling, vomiting, abnormal appearing skin, decreased appetite, fever, pulling at ears, itching of skin, skin rash"
mumps,"sore throat, swollen lymph nodes, ear pain, shoulder swelling"
hyponatremia,"shortness of breath, sharp chest pain, fainting, sharp abdominal pain, vomiting, nausea, back pain, weakness, seizures"
idiopathic infrequent menstruation,"retention of urine, sharp abdominal pain, nausea, unpredictable menstruation"
herniated disk,"leg pain, hip pain, arm pain, back pain, neck pain, low back pain, loss of sensation, paresthesia, shoulder pain, arm weakness, leg weakness"
myopia,"eye deviation, diminished vision, symptoms of eye, pain in eye, eye moves abnormally, foreign body sensation in eye, spots or clouds in vision, eye redness, blindness"
foreign body in the nose,"nasal congestion, regurgitation.1"
kidney cancer,"retention of urine, groin mass, involuntary urination, blood in urine, kidney mass"
sprain or strain,"leg pain, headache, hand or finger pain, wrist pain, arm pain, back pain, neck pain, low back pain, knee pain, foot or toe pain, ankle pain, shoulder pain"
alcohol intoxication,"anxiety and nervousness, depression, depressive or psychotic symptoms, sharp chest pain, abnormal involuntary movements, abusing alcohol, vomiting, problems with movement"
oppositional disorder,"depressive or psychotic symptoms, fainting, hostile behavior, restlessness, excessive anger, temper problems, low self-esteem, obsessions and compulsions, antisocial behavior, low urine output"
open wound of the eye,"white discharge from eye, diminished vision, symptoms of eye, pain in eye, spots or clouds in vision"
impulse control disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, excessive appetite, excessive anger, delusions or hallucinations, temper problems"
kidney disease due to longstanding hypertension,"shortness of breath, difficulty speaking, feeling cold, symptoms of the kidneys"
lice,"cough, nasal congestion, itching of skin, itchy scalp, leg lump or mass"
peyronie disease,"emotional symptoms, mass in scrotum, impotence, symptoms of prostate, penis pain"
noninfectious gastroenteritis,"blood in stool, sharp abdominal pain, vomiting, headache, nausea, diarrhea, burning abdominal pain, decreased appetite, fever, chills, rectal bleeding, fluid retention"
parasitic disease,"cough, retention of urine, sharp abdominal pain, hand or finger swelling, abnormal appearing skin, skin rash"
paroxysmal ventricular tachycardia,"shortness of breath, sharp chest pain, dizziness, chest tightness, irregular heartbeat, fainting, weight gain, decreased heart rate, increased heart rate, fatigue"
drug abuse (opioids),"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, drug abuse, restlessness, excessive anger, delusions or hallucinations, temper problems"
complex regional pain syndrome,"abnormal involuntary movements, leg pain, hand or finger pain, arm pain, back pain, neck pain, low back pain, foot or toe pain, problems with movement, loss of sensation, paresthesia, ache all over"
developmental disability,"depressive or psychotic symptoms, difficulty speaking, lack of growth, hostile behavior, restlessness, seizures, delusions or hallucinations, temper problems, fears and phobias, obsessions and compulsions, antisocial behavior"
neurosis,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, hostile behavior, drug abuse, headache, smoking problems, excessive anger, delusions or hallucinations, obsessions and compulsions"
vaginitis,"suprapubic pain, sharp abdominal pain, vaginal itching, painful urination, pain during intercourse, lower abdominal pain, vaginal discharge, pain during pregnancy, pelvic pain, vaginal pain, vaginal redness"
nonalcoholic liver disease (nash),"dizziness, sharp abdominal pain, nausea, mouth ulcer, weight gain"
folate deficiency,"shortness of breath, sharp chest pain, sharp abdominal pain, vomiting blood, difficulty breathing"
open wound of the knee,"leg pain, leg swelling"
graves disease,"dizziness, abnormal involuntary movements, palpitations, irregular heartbeat, involuntary urination, hemoptysis, sweating"
heart failure,"shortness of breath, sharp chest pain, chest tightness, palpitations, cough, weight gain, leg swelling, weakness, difficulty breathing, fluid retention, hurts to breath"
skin pigmentation disorder,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, skin moles, itching of skin, skin dryness, peeling, scaliness, or roughness, warts, skin rash"
tonsillar hypertrophy,"sore throat, cough, nasal congestion, difficulty in swallowing, fever, apnea, abnormal breathing sounds, redness in ear"
typhoid fever,"wrist pain, fever"
aortic valve disease,"shortness of breath, sharp chest pain, palpitations, irregular heartbeat, groin mass, fainting, peripheral edema, difficulty breathing, lymphedema"
injury to the face,"diminished hearing, headache, facial pain, neck pain, ear pain, neck stiffness or tightness, nosebleed, bleeding from ear, mouth pain"
hyperhidrosis,"cough, acne or pimples, fever, sweating, warts"
syndrome of inappropriate secretion of adh (siadh),"dizziness, feeling ill, cross-eyed"
chalazion,"skin growth, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, lacrimation, mass on eyelid, swollen eye, eyelid swelling"
rheumatic fever,"knee lump or mass, itchiness of eye"
tension headache,"anxiety and nervousness, dizziness, headache, nausea, neck pain, neck stiffness or tightness, chills, back cramps or spasms"
guillain barre syndrome,"dizziness, difficulty speaking, leg pain, hand or finger pain, loss of sensation"
carbon monoxide poisoning,"depressive or psychotic symptoms, dizziness, emotional symptoms, vomiting, headache, nausea"
eczema,"cough, skin swelling, abnormal appearing skin, skin lesion, acne or pimples, irregular appearing scalp, allergic reaction, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation, warts, skin rash"
fracture of the finger,"hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, foot or toe pain, foot or toe swelling"
vitreous hemorrhage,"diminished vision, symptoms of eye, pain in eye, spots or clouds in vision, lacrimation, blindness"
bone spur of the calcaneous,"leg pain, foot or toe pain, ankle pain, elbow pain, foot or toe swelling"
fibromyalgia,"sharp chest pain, leg pain, hip pain, headache, arm pain, back pain, neck pain, low back pain, muscle pain, ache all over"
protein deficiency,"depression, vomiting, nausea, smoking problems, weakness"
asthma,"shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, wheezing, fever, difficulty breathing, coughing up sputum, coryza, allergic reaction"
head and neck cancer,"hoarse voice, sore throat, throat feels tight, difficulty in swallowing, neck mass, plugged feeling in ear, hemoptysis, mouth pain"
trigeminal neuralgia,"dizziness, abnormal involuntary movements, headache, toothache, facial pain, pain in eye, symptoms of the face"
nasal polyp,"hoarse voice, cough, nasal congestion, headache, facial pain, frontal headache, allergic reaction, painful sinuses"
huntington disease,"anxiety and nervousness, elbow weakness"
appendicitis,"sharp abdominal pain, vomiting, nausea, diarrhea, lower abdominal pain, burning abdominal pain, decreased appetite, side pain, fever, upper abdominal pain, stomach bloating"
normal pressure hydrocephalus,"depressive or psychotic symptoms, palpitations, headache, problems with movement"
turner syndrome,"depression, emotional symptoms"
essential tremor,"dizziness, abnormal involuntary movements, hoarse voice, problems with movement, muscle pain, loss of sensation, disturbance of memory"
heart attack,"shortness of breath, sharp chest pain, chest tightness, irregular heartbeat, fainting, nausea, arm pain, heartburn, increased heart rate, burning chest pain, sweating"
dislocation of the shoulder,"wrist pain, arm pain, arm stiffness or tightness, arm swelling, neck mass, shoulder pain"
placental abruption,"emotional symptoms, nausea, spotting or bleeding during pregnancy, uterine contractions"
temporary or benign blood in urine,"retention of urine, suprapubic pain, sharp abdominal pain, painful urination, involuntary urination, frequent urination, lower abdominal pain, blood in urine, back pain, regurgitation, regurgitation.1, symptoms of bladder"
acute pancreatitis,"sharp chest pain, abusing alcohol, sharp abdominal pain, vomiting, nausea, diarrhea, back pain, burning abdominal pain, side pain, lower body pain, upper abdominal pain, hemoptysis"
tracheitis,"shortness of breath, hoarse voice, sore throat, cough, nasal congestion, fever, sneezing"
sickle cell crisis,"sharp chest pain, leg pain, hip pain, sharp abdominal pain, vomiting, arm pain, back pain, low back pain, burning abdominal pain, knee pain, ache all over"
pericarditis,"shortness of breath, sharp chest pain, chest tightness, palpitations, sharp abdominal pain, lower body pain"
skin disorder,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, skin moles, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation"
central retinal artery or vein occlusion,"irregular heartbeat, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, blindness"
poisoning due to opioids,"depressive or psychotic symptoms, dizziness, difficulty speaking, drug abuse"
nose disorder,"sore throat, cough, nasal congestion, headache, facial pain, ear pain, fever, difficulty breathing, coryza, sinus congestion, painful sinuses, nosebleed"
