disease,symptom,text
chicken pox,,"My lymph nodes are swollen, causing discomfort in my neck and armpits. I don't know what's causing it."
chicken pox,,There are small red spots all over my body that I can't explain. It's worrying me. I feel extremely tired and experience a mild fever every night.
chicken pox,,I've lost my appetite and can't seem to eat anything. I'm worried about my health.
chicken pox,,"I've had a high fever for the past few days. I don't know what's causing it. Also, I noticed rashes on my skin and it's hard for me to resist scratching."
chicken pox,,"I have a skin rash that's red and swollen, and it's spreading all over my body. I have a mild fever and it is causing me a lot of discomforts."
chicken pox,,"I'm feeling fatigued and have no energy. I can barely keep my eyes open during the day, and I've been feeling lethargic and unable to motivate myself."
chicken pox,,There are small red spots all over my body that I can't explain. The bumps are itchy and uncomfortable and seem to spread rapidly. It's worrying me.
chicken pox,,"I'm feeling fatigued and have no energy. I can barely keep my eyes open during the day, and I've been feeling lethargic and unable to motivate myself."
chicken pox,,"I've been experiencing intense itching all over my skin, and it's driving me crazy. I also have a rash that's red and inflamed."
chicken pox,,"I have swollen lymph nodes and red spots all over my body, and they are causing discomfort. I also have a mild fever and feel tired most of the time."
chicken pox,,The itching is making it hard for me to sleep at night. I can't seem to get any rest because the rash is so itchy and uncomfortable. I'm feeling really tired and exhausted.
chicken pox,,"I'm worried about this rash on my skin. It's spreading rapidly and causing a lot of discomforts. I can hardly sleep at night because of the itching,"
chicken pox,,I have no energy and have lost my appetite. I'm feeling really sick and don't know what's wrong.
chicken pox,,"I have a skin rash that's red and inflamed, and it's spreading all over my body. I've been experiencing intense itching, especially on my arms and legs."
chicken pox,,"There are red swollen spots all over my body. It itches if I touch them. Moreover, I also have a high fever and headache and always feel exhausted."
chicken pox,,I have no energy and have lost my appetite. I have a high fever and severe headache and don't know what's wrong.
chicken pox,,The high fever and swollen lymph nodes are causing me much discomfort. I have a headache and feel weak and fatigued. It's hard for me to concentrate because of the fever.
chicken pox,,"There are red spots all over my body that I can't explain. The spots are itchy and starting to swell, and they are spreading rapidly."
chicken pox,,I have small lymph nodes on my arms and face. The itching is making my day very uncomfortable.
chicken pox,,"I have no energy and have lost my appetite. I'm feeling really sick and don't know what's wrong. Also, there are small red spots starting to show on my skin."
chicken pox,,The itching is making it hard for me to sleep at night. I can't get any rest. I have also lost my appetite and feel lethargic.
chicken pox,,"I have lost my appetite completely and can't seem to eat anything. I feel like vomiting and feel exhausted. I noticed rashes on my skin, which is really concerning me."
chicken pox,,"My arms and neck have large lymph nodes, which itch when I touch them. The itching has made my day extremely uncomfortable."
chicken pox,,I'm feeling really nauseous and uneasy. I'm not sure what it might be. I've seen rashes on my arms and legs. I have lost my appetite and feel exhausted every day.
chicken pox,,I'm really exhausted and lacking in energy. I can hardly keep my eyes open during the day. I have a mild fever and don't feel like eating anything. I think I have lost my appetite.
chicken pox,,I have swollen red lymph nodes on my arms and legs that itch when I touch them. I'm also suffering from a terrible headache and a mild fever. I don't feel like eating anything and have lost my appetite.
chicken pox,,I'm worried about these red spots on my skin. It's spreading rapidly and causing a lot of problems. I also developed a mild fever and headache every night.
chicken pox,,There are small red spots all over my body. The spots are itchy and uncomfortable. I also have a mild fever and headache.
chicken pox,,"I am exhausted and have lost my appetite. I feel vomiting and can't eat anything. In addition, little red spots are beginning to appear on my skin and near the neck. I am really worried about my health."
chicken pox,,"I've been suffering from severe itching all over my body, along with a fever and headache. The red spots are starting to swell and it is getting really uncomfortable every day."
chicken pox,,I feel tired every day. There are red spots all over my arms and back and it itches if I touch them. I am really worried and not sure what to do.
chicken pox,,"The high fever, swollen lymph nodes and headache are causing me a lot of trouble. I don't feel like eating anything and feel weak and fatigued. It's hard for me to concentrate on my daily life."
chicken pox,,"I have a high fever and red spots and rashes all over my body. I feel exhausted and have completely lost my appetite, which has made me weak and lethargic. I am really worried."
chicken pox,,I have a high fever and a severe headache. I can't seem to eat anything and feel like vomiting. There are also some red spots developing on my arms. I am really worried.
chickenpox,skin rash,
chickenpox,cough,
chickenpox,pain in testicles,
chickenpox,abnormal appearing skin,
chickenpox,fever,
chickenpox,itching of skin,
chlamydia,sharp abdominal pain,
chlamydia,lower abdominal pain,
chlamydia,vaginal itching,
chlamydia,vaginal pain,
chlamydia,pelvic pain,
chlamydia,vaginal discharge,
cholecystitis,back pain,
cholecystitis,burning abdominal pain,
cholecystitis,sharp abdominal pain,
cholecystitis,side pain,
cholecystitis,lower body pain,
cholecystitis,sharp chest pain,
cholecystitis,upper abdominal pain,
cholecystitis,nausea,
cholecystitis,vomiting,
cholecystitis,stomach bloating,
cholecystitis,regurgitation.1,
cholecystitis,symptoms of the kidneys,
choledocholithiasis,vomiting,
choledocholithiasis,sharp abdominal pain,
choledocholithiasis,sharp chest pain,
choledocholithiasis,decreased appetite,
choledocholithiasis,nausea,
choledocholithiasis,jaundice,
choledocholithiasis,side pain,
choledocholithiasis,upper abdominal pain,
choledocholithiasis,chills,
cholesteatoma,muscle swelling,
cholesteatoma,pus draining from ear,
cholesteatoma,diminished hearing,
cholesteatoma,nasal congestion,
chondromalacia of the patella,problems with movement,
chondromalacia of the patella,leg pain,
chondromalacia of the patella,knee pain,
chondromalacia of the patella,bones are painful,
chondromalacia of the patella,knee weakness,
chondromalacia of the patella,knee swelling,
chorioretinitis,muscle swelling,
chorioretinitis,spots or clouds in vision,
chorioretinitis,pain in eye,
chorioretinitis,diminished vision,
chorioretinitis,double vision,
chronic back pain,back cramps or spasms,
chronic back pain,leg pain,
chronic back pain,hip pain,
chronic back pain,low back pain,
chronic back pain,groin pain,
chronic back pain,side pain,
chronic back pain,back stiffness or tightness,
chronic back pain,loss of sensation,
chronic back pain,neck pain,
chronic back pain,lower body pain,
chronic back pain,back pain,
chronic constipation,constipation,
chronic constipation,rectal bleeding,
chronic constipation,pain of the anus,
chronic constipation,burning abdominal pain,
chronic constipation,changes in stool appearance,
chronic constipation,retention of urine,
chronic constipation,blood in stool,
chronic constipation,sharp abdominal pain,
chronic constipation,vomiting,
chronic constipation,nausea,
chronic constipation,lower abdominal pain,
chronic glaucoma,mass on eyelid,
chronic glaucoma,itchiness of eye,
chronic glaucoma,lacrimation,
chronic glaucoma,spots or clouds in vision,
chronic glaucoma,foreign body sensation in eye,
chronic glaucoma,pain in eye,
chronic glaucoma,symptoms of eye,
chronic glaucoma,eye burns or stings,
chronic glaucoma,diminished vision,
chronic glaucoma,white discharge from eye,
chronic inflammatory demyelinating polyneuropathy (cidp),problems with movement,
chronic inflammatory demyelinating polyneuropathy (cidp),weakness,
chronic inflammatory demyelinating polyneuropathy (cidp),loss of sensation,
chronic inflammatory demyelinating polyneuropathy (cidp),dizziness,
chronic kidney disease,fatigue,
chronic kidney disease,peripheral edema,
chronic kidney disease,shortness of breath,
chronic kidney disease,symptoms of the kidneys,
chronic kidney disease,feeling cold,
chronic knee pain,knee pain,
chronic knee pain,leg swelling,
chronic knee pain,leg pain,
chronic knee pain,hip pain,
chronic knee pain,back pain,
chronic knee pain,knee weakness,
chronic knee pain,knee swelling,
chronic knee pain,knee stiffness or tightness,
chronic knee pain,joint pain,
chronic obstructive pulmonary disease (copd),congestion in chest,
chronic obstructive pulmonary disease (copd),coryza,
chronic obstructive pulmonary disease (copd),coughing up sputum,
chronic obstructive pulmonary disease (copd),fever,
chronic obstructive pulmonary disease (copd),wheezing,
chronic obstructive pulmonary disease (copd),chest tightness,
chronic obstructive pulmonary disease (copd),cough,
chronic obstructive pulmonary disease (copd),sore throat,
chronic obstructive pulmonary disease (copd),shortness of breath,
chronic obstructive pulmonary disease (copd),sharp chest pain,
chronic obstructive pulmonary disease (copd),nasal congestion,
chronic otitis media,cough,
chronic otitis media,fever,
chronic otitis media,ear pain,
chronic otitis media,plugged feeling in ear,
chronic otitis media,fluid in ear,
chronic otitis media,allergic reaction,
chronic otitis media,pulling at ears,
chronic otitis media,redness in ear,
chronic otitis media,painful sinuses,
chronic otitis media,nasal congestion,
chronic pain disorder,shoulder pain,
chronic pain disorder,ache all over,
chronic pain disorder,knee pain,
chronic pain disorder,headache,
chronic pain disorder,pelvic pain,
chronic pain disorder,sharp abdominal pain,
chronic pain disorder,hip pain,
chronic pain disorder,low back pain,
chronic pain disorder,back pain,
chronic pain disorder,leg pain,
chronic pancreatitis,vomiting,
chronic pancreatitis,sharp abdominal pain,
chronic pancreatitis,ache all over,
chronic pancreatitis,back pain,
chronic pancreatitis,diarrhea,
chronic pancreatitis,nausea,
chronic pancreatitis,abusing alcohol,
chronic pancreatitis,skin growth,
chronic rheumatic fever,increased heart rate,
chronic rheumatic fever,sharp chest pain,
chronic rheumatic fever,dizziness,
chronic rheumatic fever,chest tightness,
chronic rheumatic fever,palpitations,
chronic rheumatic fever,shortness of breath,
chronic rheumatic fever,throat feels tight,
chronic sinusitis,facial pain,
chronic sinusitis,ear pain,
chronic sinusitis,painful sinuses,
chronic sinusitis,sore throat,
chronic sinusitis,cough,
chronic sinusitis,sinus congestion,
chronic sinusitis,congestion in chest,
chronic sinusitis,fever,
chronic sinusitis,frontal headache,
chronic sinusitis,headache,
chronic ulcer,skin lesion,
chronic ulcer,skin pain,
cirrhosis,peripheral edema,
cirrhosis,regurgitation,
cirrhosis,vomiting blood,
cirrhosis,regurgitation.1,
cirrhosis,abdominal distention,
cirrhosis,blood in stool,
cirrhosis,sharp abdominal pain,
cirrhosis,upper abdominal pain,
cirrhosis,shortness of breath,
coagulation (bleeding) disorder,melena,
coagulation (bleeding) disorder,leg pain,
coagulation (bleeding) disorder,blood in urine,
coagulation (bleeding) disorder,knee swelling,
coagulation (bleeding) disorder,eye redness,
cold sore,skin rash,
cold sore,lip sore,
cold sore,vaginal itching,
cold sore,skin swelling,
cold sore,sore throat,
cold sore,mouth ulcer,
cold sore,lip swelling,
colonic polyp,sharp abdominal pain,
colonic polyp,heartburn,
colonic polyp,upper abdominal pain,
colonic polyp,rectal bleeding,
colonic polyp,flatulence,
colonic polyp,diarrhea,
colonic polyp,pain of the anus,
colonic polyp,blood in stool,
colorectal cancer,blood in stool,
colorectal cancer,drainage in throat,
colorectal cancer,mass or swelling around the anus,
colorectal cancer,rectal bleeding,
colorectal cancer,pain of the anus,
colorectal cancer,sharp abdominal pain,
common cold,,My eyes are red and watery all the time. I've also had this pressure in my sinuses that won't go away. I'm always feeling tired and I've been having a lot of trouble breathing. I've also had a lot of gunk in my throat and my lymph nodes are swollen.
common cold,,"I've been coughing a lot and finding it difficult to breathe. My throat hurts and I feel like I have a lot of phlegm trapped in my chest. My nose has been running a lot, and I've been feeling really congested."
common cold,,"I've been quite exhausted and ill. My throat has been quite painful, and I've had a fairly nasty cough. I've got a lot of chills and a pretty high temperature. Just feeling extremely run down and weak"
common cold,,"I've been experiencing severe weariness and a sickly sensation. My throat has been really painful and I've had a fairly severe cough. My nose has been quite stuffy, and I've had significant sinus pressure. I'm really miserable and extremely exhausted."
common cold,,"My nose always feels stuffy and congested, and my eyes are always red and itching. I have a feeling of being unwell and fatigued, and I keep hacking up this gunk. I have a scratchy, irritated throat, and I've seen that my neck's bumps are larger than usual."
common cold,,"My eyes are always red and itchy, and my nose feels all stuffy and congested. I just feel kind of sick and tired all the time, and I keep coughing up all this gunk. My throat feels sore and scratchy, and I've noticed that the bumps on my neck are bigger than usual"
common cold,,"My sinuses feel stuffy, and my eyes have been quite red. I simply lack energy, and my throat has been really scratchy. Along with the swelling in my lymph nodes, I've also been coughing up a lot of phlegm."
common cold,,My eyes have been really red and my sinuses feel congested. I just don't have any energy and my throat has been really itchy. I've also noticed my lymph nodes are swollen and I've been coughing up a lot of phlegm.
common cold,,"My sinuses feel incredibly congested, and my eyes are continuously red. I just constantly feel drained and exhausted. In addition, I have a lot of uncomfortable phlegm in my throat. My lymph nodes feel bloated, and breathing has been challenging."
common cold,,"I've been wheezing a lot and am generally feeling sick and exhausted. My throat feels really scratchy, and a lot of gross stuff is flowing out of my nose. My neck also feels bloated."
common cold,,I've been sneezing a lot and feeling really tired and sick. There's also a lot of gross stuff coming out of my nose and my throat feels really scratchy. And my neck feels swollen too.
common cold,,"I can't stop sneezing, and I'm exhausted and sick. My throat is really uncomfortable, and there is a lot of junk in my nose and throat. My neck is also swollen and puffy."
common cold,,"I keep sneezing, and I'm miserable and exhausted. I have a lot of gunky things in my nose and throat, and my throat is really hurting. My neck also feels puffy and swollen."
common cold,,"I can't stop coughing and I'm freezing. My sinuses are completely blocked, and I'm inundated with mucous. My chest hurts, and I'm unable to smell anything. My muscles are also really achy."
common cold,,I can't stop sneezing and I feel really tired and crummy. My throat is really sore and I have a lot of gunky stuff in my nose and throat. My neck feels swollen and puffy too.
common cold,,"I've been quite exhausted and ill. I have been sneezing a lot and am having trouble warming up. I'm so exhausted, and my head hurts. And I feel like I am boiling over with my high temperature."
common cold,,"I've been quite exhausted and ill. My throat has been quite painful, and I've had a fairly nasty cough. I've got a lot of chills and a pretty high temperature. Just feeling extremely run down and weak"
common cold,,I'm constantly sneezing and my body is shaking from being cold. I'm so tired I can barely move and my head is killing me. My fever is through the roof
common cold,,"I'm constantly sneezing, and the cold is making my body tremble. I'm so exhausted that I can hardly move, and my head hurts. My fever is quite high."
common cold,,I've been feeling really sick and I've had a lot of fatigue. I've had a really bad cough and my throat has been really sore. I've had a lot of sinus pressure and my nose has been really congested. I just feel really run down and miserable.
common cold,,"I've been quite exhausted and ill. I'm sneezing nonstop and am quite cold. My head is throbbing, and I lack energy. Additionally, I have a very high fever and feel like I am on fire."
common cold,,"I've been quite exhausted and ill. My throat has been quite painful, and I've had a fairly nasty cough. I've got a lot of chills and a pretty high temperature. Simply put, I feel really run down and feeble."
common cold,,I've been feeling really exhausted and sick to my stomach. I've had a really bad cough and my throat has hurt a lot. I've experienced substantial sinus pressure and a congested nose. I'm really unpleasant and worn out.
common cold,,"I'm coughing nonstop and am really chilly. My mucus production is excessive, and my sinuses are fully clogged. I can't smell anything, and my chest hurts. My muscles are quite painful as well."
common cold,,"I keep sneezing, and my eyes don't quit dripping. It's incredibly difficult for me to breathe because it feels like there is something trapped in my throat. I often feel exhausted, and lately, I've had a lot of phlegm. Moreover, my lymph nodes are enlarged."
common cold,,I've been really weary and ill. I've been suffering from a severe cough and sore throat. I've got a lot of chills and a pretty high temperature. I simply feel tired and run down.
common cold,,"My nose is extremely runny, and I can't seem to stop sneezing. In addition, I constantly feel cold, exhausted, and I've been coughing a lot. My fever is also really high far above normal."
common cold,,"I always get hot, puffy eyes and the feeling that something is obstructing my sinuses. My chest feels quite heavy, and I've been coughing up a lot of gunk. I have no sense of smell, and my muscles hurt a lot."
common cold,,"I have red, watery eyes all the time. My sinuses have also been bothered by a constant tightness. My breathing has been quite tough, and I've been feeling worn out all the time. My lymph nodes are irritated, and I also have a lot of throat mucous."
common cold,,"I can't stop sneezing and my nose is really runny. I'm also really cold and tired all the time, and I've been coughing a lot. My fever is really high too, like way above normal."
common cold,,"I've had a terrible cough and cold for days. My face is tired and my sinuses are blocked. In addition, my chest hurts from the phlegm I've been coughing up. I can't smell, and my muscles are in terrible pain."
common cold,,"I've been sneezing nonstop and I can't seem to shake this chill. I'm feeling really weak and tired, and my cough won't go away. My fever is really high"
common cold,,"I feel quite weak, and my lymph nodes are enlarged. My eyes are burning, and my throat hurts. My sinuses are under strain, and my nose is stuffy. I can't smell anything, and my chest hurts."
common cold,,"I lack energy and feel like my neck is bloated. My eyes are red, and my throat feels scratchy. I have severe congestion in my nostrils, and my face is under pressure. I can't smell anything, and my chest hurts."
common cold,,"My neck is swollen, and I'm exhausted. My throat is scratchy, and my eyes are burning red. My nose is really clogged, and I am experiencing facial pressure. My chest hurts, and I'm unable to smell anything."
common cold,,"I've been sneezing incessantly and I just can't get this chill to go away. I feel so weak and exhausted, and my cough won't stop. My temperature is really high."
common cold,,"My eyes are usually red and runny, and my nose is always stuffy. I've also been having difficulty breathing and my chest hurts. In addition, I can't smell anything and my muscles are quite painful."
common cold,,"My eyes are usually red and inflamed, and I have the impression that something is clogging my sinuses. I've been coughing up a lot of gunk, and my chest hurts. I can't smell anything, and my muscles are aching."
common cold,,"My eyes are always red and swollen, and I feel like there's something blocking my sinuses. I've been coughing up a lot of goo and my chest feels really heavy. I can't smell anything and my muscles are really sore"
common cold,,"I've been coughing a lot and feeling chilly and shivery. My nose has been quite clogged, and I am experiencing facial pressure. I also have a lot of phlegm, and coughing pains my chest. I can't smell anything, and my muscles are aching."
common cold,,"For days, I've had a nasty cough and cold. My sinuses are clogged, and I have facial pressure. I've also been creating phlegm, and coughing pains my chest. I can't smell anything, and my muscles are aching."
common cold,,"I've had a nasty cough and cold for days. My sinuses are congested, and I have facial pressure. I've also been coughing up mucus, and it pains my chest. I can't smell anything and my muscles are aching."
common cold,,"My cough and cold have been awful for days. My sinuses are congested, and my face is under strain. Additionally, I've been coughing up phlegm, and it hurts in my chest. I have no sense of smell, and my muscles hurt a lot."
common cold,,"I'm coughing nonstop and I'm shivering terribly. I have a stuffy nose and my face is under strain. In addition, my throat is coughing up some nasty gunk, and my chest hurts. My muscles hurt a lot, and I can't smell anything."
common cold,,"I've been feeling awful, with a lot of congestion and a runny nose. I've been coughing a lot and having a lot of chest pain. My fever has been really high, and I've been experiencing severe muscular discomfort."
common cold,,"I can't quit sneezing, and my nose is running. I'm also constantly chilly and exhausted, and I've been coughing a lot. My fever is also really high, well above usual."
common cold,,"My eyes are constantly red and runny. A persistent tightness in my sinuses has also been bothering me. I've been having a lot of difficulties breathing and constantly feel fatigued. In addition, I have a lot of throat mucus and inflamed lymph nodes."
common cold,,I can't stop coughing and I feel really cold. My sinuses are all blocked and I have a lot of mucus. My chest hurts and I can't smell anything. My muscles are also really sore.
common cold,,"My nose feels quite clogged, and my eyes are constantly very red and runny. In addition, my chest hurts and I've been having a lot of breathing problems. In addition, my muscles feel quite painful, and I can't smell anything."
common cold,,"I've been feeling really tired and sick. I've been sneezing a lot and I can't seem to get warm. I'm so tired and my head is killing me. And my fever is really high, like I'm boiling."
common cold,vomiting,
common cold,nasal congestion,
common cold,headache,
common cold,wheezing,
common cold,ear pain,
common cold,fever,
common cold,chills,
common cold,flu-like syndrome,
common cold,sore throat,
common cold,cough,
common cold,coryza,
complex regional pain syndrome,hand or finger pain,
complex regional pain syndrome,foot or toe pain,
complex regional pain syndrome,low back pain,
complex regional pain syndrome,neck pain,
complex regional pain syndrome,back pain,
complex regional pain syndrome,ache all over,
complex regional pain syndrome,paresthesia,
complex regional pain syndrome,loss of sensation,
complex regional pain syndrome,problems with movement,
complex regional pain syndrome,leg pain,
complex regional pain syndrome,arm pain,
complex regional pain syndrome,abnormal involuntary movements,
concussion,dizziness,
concussion,difficulty speaking,
concussion,vomiting,
concussion,headache,
concussion,nausea,
concussion,facial pain,
concussion,double vision,
concussion,back pain,
concussion,rib pain,
concussion,disturbance of memory,
concussion,neck pain,
concussion,sleepiness,
conduct disorder,depression,
conduct disorder,temper problems,
conduct disorder,hostile behavior,
conduct disorder,depressive or psychotic symptoms,
conduct disorder,lack of growth,
conduct disorder,abusing alcohol,
conduct disorder,fainting,
conduct disorder,seizures,
conduct disorder,excessive anger,
conduct disorder,hysterical behavior,
conductive hearing loss,plugged feeling in ear,
conductive hearing loss,difficulty speaking,
conductive hearing loss,dizziness,
conductive hearing loss,hoarse voice,
conductive hearing loss,ear pain,
conductive hearing loss,fluid in ear,
conductive hearing loss,redness in ear,
conductive hearing loss,low self-esteem,
conductive hearing loss,ringing in ear,
conductive hearing loss,diminished hearing,
congenital heart defect,hand or finger stiffness or tightness,
congenital heart defect,arm swelling,
congenital heart defect,lack of growth,
congenital heart defect,sharp chest pain,
congenital malformation syndrome,gum pain,
congenital malformation syndrome,diminished hearing,
congenital malformation syndrome,seizures,
congenital malformation syndrome,lack of growth,
conjunctivitis,cough,
conjunctivitis,sore throat,
conjunctivitis,white discharge from eye,
conjunctivitis,pain in eye,
conjunctivitis,eye redness,
conjunctivitis,lacrimation,
conjunctivitis,itchiness of eye,
conjunctivitis,fever,
conjunctivitis,coryza,
conjunctivitis,swollen eye,
conjunctivitis,nasal congestion,
conjunctivitis due to allergy,nasal congestion,
conjunctivitis due to allergy,sneezing,
conjunctivitis due to allergy,symptoms of eye,
conjunctivitis due to allergy,eye redness,
conjunctivitis due to allergy,lacrimation,
conjunctivitis due to allergy,itchiness of eye,
conjunctivitis due to allergy,eye burns or stings,
conjunctivitis due to allergy,allergic reaction,
conjunctivitis due to allergy,swollen eye,
conjunctivitis due to allergy,diminished vision,
conjunctivitis due to allergy,pain in eye,
conjunctivitis due to allergy,cough,
conjunctivitis due to bacteria,nasal congestion,
conjunctivitis due to bacteria,abnormal appearing skin,
conjunctivitis due to bacteria,cough,
conjunctivitis due to bacteria,sore throat,
conjunctivitis due to bacteria,fever,
conjunctivitis due to bacteria,eye redness,
conjunctivitis due to virus,nasal congestion,
conjunctivitis due to virus,diminished vision,
conjunctivitis due to virus,fever,
conjunctivitis due to virus,cough,
conjunctivitis due to virus,swollen eye,
conjunctivitis due to virus,itchiness of eye,
conjunctivitis due to virus,lacrimation,
conjunctivitis due to virus,eye redness,
conjunctivitis due to virus,pain in eye,
conjunctivitis due to virus,white discharge from eye,
connective tissue disorder,joint pain,
connective tissue disorder,feeling ill,
connective tissue disorder,difficulty in swallowing,
contact dermatitis,skin swelling,
contact dermatitis,allergic reaction,
contact dermatitis,skin moles,
contact dermatitis,abnormal appearing skin,
contact dermatitis,skin lesion,
contact dermatitis,skin irritation,
contact dermatitis,or roughness,
contact dermatitis,scaliness,
contact dermatitis,peeling,
contact dermatitis,acne or pimples,
contact dermatitis,skin dryness,
contact dermatitis,itching of skin,
contact dermatitis,swollen eye,
contact dermatitis,skin rash,
conversion disorder,anxiety and nervousness,
conversion disorder,seizures,
conversion disorder,cough,
conversion disorder,depression,
cornea infection,pain in eye,
cornea infection,lip swelling,
cornea infection,diminished vision,
cornea infection,symptoms of eye,
cornea infection,spots or clouds in vision,
cornea infection,eye burns or stings,
cornea infection,eye redness,
cornea infection,lacrimation,
cornea infection,itchiness of eye,
cornea infection,swollen eye,
cornea infection,foreign body sensation in eye,
corneal abrasion,foreign body sensation in eye,
corneal abrasion,eye redness,
corneal abrasion,itchiness of eye,
corneal abrasion,lacrimation,
corneal abrasion,white discharge from eye,
corneal abrasion,diminished vision,
corneal abrasion,symptoms of eye,
corneal abrasion,pain in eye,
corneal abrasion,eyelid swelling,
corneal disorder,diminished vision,
corneal disorder,double vision,
corneal disorder,symptoms of eye,
corneal disorder,foreign body sensation in eye,
corneal disorder,spots or clouds in vision,
corneal disorder,eye redness,
corneal disorder,white discharge from eye,
corneal disorder,itchiness of eye,
corneal disorder,lacrimation,
corneal disorder,pain in eye,
coronary atherosclerosis,burning chest pain,
coronary atherosclerosis,irregular heartbeat,
coronary atherosclerosis,fatigue,
coronary atherosclerosis,leg cramps or spasms,
coronary atherosclerosis,palpitations,
coronary atherosclerosis,shortness of breath,
coronary atherosclerosis,sharp chest pain,
coronary atherosclerosis,chest tightness,
cranial nerve palsy,diminished vision,
cranial nerve palsy,headache,
cranial nerve palsy,symptoms of the face,
cranial nerve palsy,double vision,
cranial nerve palsy,abnormal movement of eyelid,
cranial nerve palsy,abnormal involuntary movements,
cranial nerve palsy,difficulty speaking,
cranial nerve palsy,facial pain,
crohn disease,burning abdominal pain,
crohn disease,regurgitation,
crohn disease,pain of the anus,
crohn disease,sharp abdominal pain,
crohn disease,nausea,
crohn disease,diarrhea,
crohn disease,rectal bleeding,
crohn disease,vomiting,
crohn disease,regurgitation.1,
crohn disease,blood in stool,
croup,cough,
croup,nasal congestion,
croup,hoarse voice,
croup,vomiting,
croup,wheezing,
croup,pulling at ears,
croup,fever,
croup,coryza,
croup,abnormal breathing sounds,
croup,sore throat,
croup,shortness of breath,
crushing injury,hand or finger stiffness or tightness,
crushing injury,foot or toe pain,
crushing injury,neck swelling,
crushing injury,hand or finger pain,
crushing injury,knee swelling,
crushing injury,hand or finger swelling,
cryptococcosis,cross-eyed,
cryptococcosis,depressive or psychotic symptoms,
cryptorchidism,symptoms of the scrotum and testes,
cryptorchidism,swelling of scrotum,
cryptorchidism,lack of growth,
cushing syndrome,emotional symptoms,
cushing syndrome,weight gain,
cyst of the eyelid,abnormal movement of eyelid,
cyst of the eyelid,diminished vision,
cyst of the eyelid,mass on eyelid,
cyst of the eyelid,skin growth,
cyst of the eyelid,muscle swelling,
cystic fibrosis,feeling ill,
cystic fibrosis,cough,
cystic fibrosis,decreased appetite,
cystic fibrosis,intermenstrual bleeding,
cysticercosis,seizures,
cysticercosis,headache,
cysticercosis,elbow weakness,
cysticercosis,shortness of breath,
cystitis,back pain,
cystitis,involuntary urination,
cystitis,painful urination,
cystitis,lower abdominal pain,
cystitis,pelvic pain,
cystitis,side pain,
cystitis,sharp abdominal pain,
cystitis,suprapubic pain,
cystitis,retention of urine,
cystitis,frequent urination,
cystitis,symptoms of bladder,
cystitis,blood in urine,
de quervain disease,wrist pain,
de quervain disease,hand or finger pain,
de quervain disease,abnormal involuntary movements,
de quervain disease,hand or finger swelling,
de quervain disease,arm pain,
de quervain disease,shoulder pain,
de quervain disease,wrist swelling,
decubitus ulcer,skin on leg or foot looks infected,
decubitus ulcer,difficulty speaking,
decubitus ulcer,incontinence of stool,
decubitus ulcer,skin lesion,
deep vein thrombosis (dvt),leg pain,
deep vein thrombosis (dvt),leg stiffness or tightness,
deep vein thrombosis (dvt),arm swelling,
deep vein thrombosis (dvt),abnormal appearing skin,
deep vein thrombosis (dvt),leg swelling,
deep vein thrombosis (dvt),leg cramps or spasms,
deep vein thrombosis (dvt),foot or toe swelling,
degenerative disc disease,neck pain,
degenerative disc disease,paresthesia,
degenerative disc disease,shoulder pain,
degenerative disc disease,joint pain,
degenerative disc disease,back pain,
degenerative disc disease,arm pain,
degenerative disc disease,low back pain,
degenerative disc disease,hip pain,
degenerative disc disease,leg pain,
degenerative disc disease,lower body pain,
degenerative disc disease,loss of sensation,
delirium,depression,
delirium,hostile behavior,
delirium,abnormal involuntary movements,
delirium,difficulty speaking,
delirium,delusions or hallucinations,
delirium,disturbance of memory,
delirium,slurring words,
delirium,problems with movement,
delirium,depressive or psychotic symptoms,
delirium,focal weakness,
dementia,depressive or psychotic symptoms,
dementia,insomnia,
dementia,abnormal involuntary movements,
dementia,hostile behavior,
dementia,problems with movement,
dementia,disturbance of memory,
dementia,delusions or hallucinations,
dementia,focal weakness,
dengue,,I have been experiencing muscle pain that makes it difficult for me to move around. I have lost my apetite and feel vomiting. My legs and back pain a lot. 
dengue,,My shivers and shivering have been accompanied with a sensation of coldness and a very high fever. Rashes on my arms and red patches on my neck have also appeared. 
dengue,,"I have been suffering from severe joint ache. I feel vomiting most of the time, and I am developing a moderate fever with chills. The fever that doesn't seem to come down even with medication."
dengue,,"The vomiting I've been having has been followed by stomach pains and dizziness. I've lost my appetite and as a result feel weak. My arms, back, neck pain most of the time."
dengue,,"I have been experiencing back pain that is worse when I sit or stand for a long time. Also, there are rashes all over my body. There is a pain behind my eyes too."
dengue,,I have developed red spots on my arms and legs that are itchy and inflamed. I have been feeling nauseaus and have a constant urge to vomit. This is accomapanied by mild fever.
dengue,,"My whole body is paining a lot and I don’t feel like eating anything. I have mild fever and get chills every night. Also, there are some red spots developing on my back and neck."
dengue,,"My joints and back pain everyday. I feel like vomitting and this has made me very weak. Because of my body pain, I am not able to focus on my work and don’t feel like doing anything."
dengue,,The body pain I have been feeling is extreme. I has lost my appetite and developed rashes on my arms and face. The back of my eyes pain a lot.
dengue,,"I have developed a skin rash that covers my entire body. The rash is red and swollen, and is worse in certain areas such as my arms and legs. I have also lost my appetite. "
dengue,,I have been experiencing chills and shivering. There is a strong pain in my back and also behind my eyes. I have also noticed small red spots on my back and neck. 
