name,symptoms,description,treatments,contagious,chronic,url
meniere disease,"dizziness, diminished hearing, headache, nausea, facial pain, ear pain, ringing in ear, allergic reaction","","",,,""
liver disease,"shortness of breath, blood in stool, jaundice, sharp abdominal pain, nausea, diarrhea, peripheral edema, heartburn, weakness, side pain, upper abdominal pain, unusual color or odor to urine","","",,,""
tuberous sclerosis,"depressive or psychotic symptoms, elbow weakness, seizures","","",,,""
fracture of the vertebra,"hip pain, hand or finger stiffness or tightness, back pain, neck pain, low back pain, pelvic pain, bones are painful, leg stiffness or tightness","","",,,""
mastectomy,"skin swelling, arm stiffness or tightness, pain or soreness of breast","","",,,""
uterine cancer,"groin mass, pelvic pain, vaginal bleeding after menopause","","",,,""
primary immunodeficiency,"cough, arm stiffness or tightness, frontal headache, decreased appetite, fatigue","","",,,""
fracture of the skull,"depressive or psychotic symptoms, diminished hearing, drug abuse, vomiting, headache","","",,,""
drug abuse (methamphetamine),"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, palpitations, abusing alcohol, hostile behavior, drug abuse, feeling ill","","",,,""
hydrocele of the testicle,"retention of urine, groin mass, symptoms of the scrotum and testes, swelling of scrotum, pain in testicles, mass in scrotum, lower abdominal pain, groin pain","","",,,""
turner syndrome,"depression, emotional symptoms","","",,,""
obsessive compulsive disorder (ocd),"anxiety and nervousness, depression, depressive or psychotic symptoms, lack of growth, hostile behavior, feeling ill, temper problems, low self-esteem, obsessions and compulsions","","",,,""
sebaceous cyst,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, neck mass, skin moles, hand or finger lump or mass, back mass or lump, arm lump or mass","","",,,""
headache after lumbar puncture,"dizziness, vomiting, headache, nausea, painful urination, neck pain, low back pain","","",,,""
burn,"headache, hand or finger pain, wrist pain, wrist swelling, knee pain, skin irritation","","",,,""
leukemia,"fever, muscle stiffness or tightness, fatigue, mouth pain","","",,,""
sarcoidosis,"shortness of breath, sharp chest pain, chest tightness, cough, headache, facial pain, pain in eye, peripheral edema","","",,,""
lipoma,"skin swelling, groin mass, abnormal appearing skin, skin lesion, skin growth, neck mass, bones are painful, back mass or lump, shoulder lump or mass, arm lump or mass","","",,,""
scleritis,"abnormal involuntary movements, headache, pain in eye, spots or clouds in vision, eye redness","","",,,""
myopia,"eye deviation, diminished vision, symptoms of eye, pain in eye, eye moves abnormally, foreign body sensation in eye, spots or clouds in vision, eye redness, blindness","","",,,""
benign vaginal discharge (leukorrhea),"suprapubic pain, sharp abdominal pain, vaginal itching, painful urination, frequent urination, vaginal discharge, pain during pregnancy, burning abdominal pain, vaginal redness, problems during pregnancy","","",,,""
iridocyclitis,"headache, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, lacrimation, eye burns or stings, cloudy eye","","",,,""
post-traumatic stress disorder (ptsd),"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, hostile behavior, drug abuse, excessive anger, delusions or hallucinations, temper problems","","",,,""
carpal tunnel syndrome,"hand or finger pain, wrist pain, hand or finger swelling, arm pain, wrist swelling, hand or finger stiffness or tightness, neck pain, elbow pain, loss of sensation, paresthesia, arm weakness","","",,,""
lung cancer,"shortness of breath, cough, smoking problems, decreased appetite, fatigue, hemoptysis, leg weakness","","",,,""
shingles (herpes zoster),"sharp chest pain, headache, abnormal appearing skin, skin lesion, facial pain, pain in eye, back pain, itching of skin, skin rash","","",,,""
varicose veins,"leg pain, skin lesion, peripheral edema, leg swelling, leg cramps or spasms, ache all over, lymphedema, leg lump or mass","","",,,""
strep throat,"sore throat, cough, nasal congestion, difficulty in swallowing, vomiting, headache, ear pain, decreased appetite, fever, ache all over, chills, skin rash","","",,,""
optic neuritis,"retention of urine, headache, diminished vision, blindness","","",,,""
chronic knee pain,"leg pain, hip pain, back pain, knee pain, knee weakness, knee swelling, knee stiffness or tightness, leg swelling, joint pain","","",,,""
viral exanthem,"cough, nasal congestion, skin swelling, vomiting, abnormal appearing skin, decreased appetite, fever, pulling at ears, itching of skin, skin rash","","",,,""
scar,"skin swelling, lip swelling, abnormal appearing skin, skin lesion, skin growth, skin moles, itching of skin","","",,,""
pharyngitis,"hoarse voice, sore throat, cough, wheezing, fever","","",,,""
cardiomyopathy,"shortness of breath, sharp chest pain, chest tightness, irregular heartbeat, peripheral edema, heartburn, decreased heart rate, fatigue","","",,,""
idiopathic nonmenstrual bleeding,"sharp abdominal pain, painful urination, vaginal discharge, intermenstrual bleeding, long menstrual periods, unpredictable menstruation","","",,,""
open wound of the knee,"leg pain, leg swelling","","",,,""
gallstone,"sharp chest pain, sharp abdominal pain, vomiting, nausea, back pain, burning abdominal pain, heartburn, side pain, lower body pain, upper abdominal pain, regurgitation.1","","",,,""
chronic sinusitis,"sore throat, cough, headache, facial pain, ear pain, frontal headache, fever, congestion in chest, sinus congestion, painful sinuses","","",,,""
panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast","","",,,""
abscess of the lung,"shortness of breath, depressive or psychotic symptoms, cough, itchy eyelid","","",,,""
syphilis,"headache, vaginal discharge, muscle pain, skin rash","","",,,""
lateral epicondylitis (tennis elbow),"hand or finger pain, wrist pain, arm pain, hand or finger stiffness or tightness, elbow pain, loss of sensation, shoulder pain, joint pain","","",,,""
peripheral arterial embolism,"leg pain, abnormal appearing skin, knee swelling, leg swelling, loss of sensation, paresthesia","","",,,""
paroxysmal ventricular tachycardia,"shortness of breath, sharp chest pain, dizziness, chest tightness, irregular heartbeat, fainting, weight gain, decreased heart rate, increased heart rate, fatigue","","",,,""
postpartum depression,"anxiety and nervousness, depression, depressive or psychotic symptoms, drug abuse, intermenstrual bleeding, pain during pregnancy, excessive anger, problems during pregnancy, delusions or hallucinations","","",,,""
anemia of chronic disease,"dizziness, emotional symptoms, feeling ill, weakness","","",,,""
primary insomnia,"anxiety and nervousness, insomnia, abnormal involuntary movements, fatigue, delusions or hallucinations, sleepiness, abnormal breathing sounds","","",,,""
whooping cough,"shortness of breath, sore throat, cough, nasal congestion, vomiting","","",,,""
sinus bradycardia,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, irregular heartbeat, fainting, feeling ill, weakness, decreased heart rate, increased heart rate","","",,,""
hyperosmotic hyperketotic state,"cough, frequent urination, weakness","","",,,""
pleural effusion,"shortness of breath, sharp chest pain, cough, sharp abdominal pain, back pain, weakness, side pain, difficulty breathing, rib pain, hurts to breath","","",,,""
heart block,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, irregular heartbeat, fainting, peripheral edema, weight gain, weakness","","",,,""
hormone disorder,"lack of growth, headache, hot flashes, acne or pimples, excessive growth","","",,,""
drug poisoning due to medication,"depression, depressive or psychotic symptoms, abusing alcohol, drug abuse, lip swelling, slurring words, sleepiness","","",,,""
mitral valve disease,"shortness of breath, sharp chest pain, dizziness, chest tightness, irregular heartbeat, increased heart rate, fatigue, sweating, nightmares","","",,,""
diverticulosis,"blood in stool, sharp abdominal pain, vomiting, nausea, diarrhea, lower abdominal pain, heartburn, upper abdominal pain, melena, rectal bleeding","","",,,""
sensorineural hearing loss,"dizziness, hoarse voice, nasal congestion, diminished hearing, throat feels tight, ear pain, ringing in ear, plugged feeling in ear, itchy ear(s), fluid in ear","","",,,""
gastroparesis,"sharp chest pain, sharp abdominal pain, vomiting, nausea, regurgitation, burning abdominal pain, upper abdominal pain, regurgitation.1","","",,,""
presbyacusis,"dizziness, diminished hearing, emotional symptoms, ear pain, ringing in ear","","",,,""
trichinosis,"nasal congestion, knee lump or mass","","",,,""
tonsillitis,"sore throat, nasal congestion, diminished hearing, lump in throat, throat feels tight, abnormal breathing sounds, redness in ear, swollen or red tonsils, throat redness","","",,,""
itching of unknown cause,"vaginal itching, abnormal appearing skin, problems during pregnancy, allergic reaction, fluid retention, itching of skin, skin dryness, peeling, scaliness, or roughness, itchy scalp, skin rash","","",,,""
ischemia of the bowel,"retention of urine, blood in stool, sharp abdominal pain, vomiting, nausea, burning abdominal pain, constipation","","",,,""
anxiety,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, sharp chest pain, insomnia, abnormal involuntary movements, palpitations, irregular heartbeat, headache, increased heart rate, fears and phobias","","",,,""
birth trauma,"depressive or psychotic symptoms, emotional symptoms, arm stiffness or tightness","","",,,""
hemarthrosis,"elbow weakness, frequent urination, knee pain, knee swelling","","",,,""
uterine atony,"sharp abdominal pain, lower abdominal pain, blood in urine, intermenstrual bleeding, pain during pregnancy, problems during pregnancy, spotting or bleeding during pregnancy, uterine contractions, back cramps or spasms","","",,,""
breast infection (mastitis),"abnormal appearing skin, skin growth, mouth dryness, bleeding or discharge from nipple, fever, chills, pain or soreness of breast, lump or mass of breast, postpartum problems of the breast","","",,,""
eye alignment disorder,"lack of growth, eye deviation, diminished vision, double vision, cross-eyed, symptoms of eye, pain in eye, eye moves abnormally, irregular appearing scalp","","",,,""
pelvic fistula,"dizziness, elbow weakness, vaginal discharge","","",,,""
sciatica,"leg pain, hip pain, low back pain, problems with movement, loss of sensation, leg cramps or spasms, lower body pain, unusual color or odor to urine, back cramps or spasms, leg weakness","","",,,""
kaposi sarcoma,"depression, elbow weakness","","",,,""
eustachian tube dysfunction (ear disorder),"dizziness, sore throat, nasal congestion, diminished hearing, ear pain, ringing in ear, plugged feeling in ear, allergic reaction, abnormal breathing sounds, redness in ear, swollen or red tonsils","","",,,""
idiopathic infrequent menstruation,"retention of urine, sharp abdominal pain, nausea, unpredictable menstruation","","",,,""
allergy,"cough, skin swelling, lip swelling, abnormal appearing skin, peripheral edema, itchiness of eye, allergic reaction, fluid retention, swollen eye, itching of skin, skin rash","","",,,""
corneal abrasion,"white discharge from eye, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, lacrimation, itchiness of eye, eyelid swelling","","",,,""
cervical cancer,"jaundice, vaginal itching, vaginal discharge, pelvic pain, vulvar irritation, heavy menstrual flow","","",,,""
hematoma,"skin swelling, swelling of scrotum, sharp abdominal pain, arm swelling, ache all over","","",,,""
hypothermia,"depressive or psychotic symptoms, emotional symptoms, fainting, weakness","","",,,""
alcohol withdrawal,"depressive or psychotic symptoms, sharp chest pain, dizziness, abnormal involuntary movements, abusing alcohol, fainting, vomiting, seizures, delusions or hallucinations, antisocial behavior","","",,,""
poisoning due to opioids,"depressive or psychotic symptoms, dizziness, difficulty speaking, drug abuse","","",,,""
panic attack,"anxiety and nervousness, shortness of breath, sharp chest pain, chest tightness, irregular heartbeat, weakness, loss of sensation","","",,,""
impetigo,"cough, nasal congestion, skin swelling, abnormal appearing skin, skin lesion, mouth ulcer, fever, itching of skin, skin rash, sore in nose","","",,,""
bipolar disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, excessive anger, delusions or hallucinations, temper problems, fears and phobias, obsessions and compulsions","","",,,""
wilson disease,"insomnia, cough, sleepiness","","",,,""
open wound of the face,"wrist swelling, facial pain","","",,,""
folate deficiency,"shortness of breath, sharp chest pain, sharp abdominal pain, vomiting blood, difficulty breathing","","",,,""
plantar fasciitis,"knee pain, foot or toe pain, ankle pain, bones are painful, problems with movement, muscle pain, ankle swelling","","",,,""
nose disorder,"sore throat, cough, nasal congestion, headache, facial pain, ear pain, fever, difficulty breathing, coryza, sinus congestion, painful sinuses, nosebleed","","",,,""
kidney failure,"shortness of breath, sharp chest pain, vomiting, nausea, arm swelling, leg swelling, swollen abdomen, symptoms of the kidneys","","",,,""
brachial neuritis,"headache, hand or finger pain, arm pain, back pain, neck pain, low back pain, elbow pain, loss of sensation, paresthesia, shoulder pain, hand or finger weakness","","",,,""
hemophilia,"cough, leg pain, frontal headache, bleeding gums","","",,,""
open wound of the nose,"diminished hearing, headache, facial pain, nosebleed","","",,,""
melanoma,"skin swelling, abnormal appearing skin, skin lesion, skin growth, irregular appearing scalp, swollen lymph nodes, skin moles, itchy eyelid","","",,,""
gastroduodenal ulcer,"sharp chest pain, blood in stool, sharp abdominal pain, vomiting, nausea, vomiting blood, burning abdominal pain, heartburn, upper abdominal pain, changes in stool appearance","","",,,""
salivary gland disorder,"sore throat, cough, throat feels tight, swollen lymph nodes","","",,,""
attention deficit hyperactivity disorder (adhd),"anxiety and nervousness, depression, depressive or psychotic symptoms, lack of growth, hostile behavior, drug abuse, restlessness, temper problems, antisocial behavior","","",,,""
gestational diabetes,"pain during pregnancy, vaginal redness, problems during pregnancy, uterine contractions, pelvic pressure","","",,,""
dislocation of the hip,"leg pain, hip pain, abusing alcohol","","",,,""
aphakia,"diminished vision, symptoms of eye, spots or clouds in vision, eye burns or stings","","",,,""
thyroid disease,"lump in throat, throat feels tight, difficulty in swallowing, neck mass","","",,,""
interstitial lung disease,"shortness of breath, sore throat, cough, nasal congestion, headache, wheezing, fever, sleepiness, abnormal breathing sounds","","",,,""
sepsis,"shortness of breath, cough, suprapubic pain, sharp abdominal pain, feeling ill, vomiting, weakness, decreased appetite, fever, difficulty breathing, chills","","",,,""
coronary atherosclerosis,"shortness of breath, sharp chest pain, chest tightness, palpitations, irregular heartbeat, leg cramps or spasms, fatigue, burning chest pain","","",,,""
meningioma,"depressive or psychotic symptoms, dizziness, headache, weakness, disturbance of memory","","",,,""
vitamin a deficiency,"hand or finger pain, knee lump or mass","","",,,""
cystitis,"retention of urine, suprapubic pain, sharp abdominal pain, painful urination, involuntary urination, frequent urination, lower abdominal pain, blood in urine, back pain, pelvic pain, side pain, symptoms of bladder","","",,,""
dislocation of the foot,"elbow weakness, vomiting, foot or toe pain","","",,,""
degenerative disc disease,"leg pain, hip pain, arm pain, back pain, neck pain, low back pain, loss of sensation, paresthesia, shoulder pain, lower body pain, joint pain","","",,,""
amyotrophic lateral sclerosis (als),"abnormal involuntary movements, difficulty speaking, difficulty in swallowing, weakness, leg cramps or spasms","","",,,""
diabetes,"weight gain, thirst","","",,,""
fungal infection of the skin,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, irregular appearing scalp, itching of skin, skin dryness, peeling, scaliness, or roughness, itchy scalp, too little hair, skin rash","","",,,""
trichiasis,"emotional symptoms, diminished vision, foreign body sensation in eye, eye redness, eyelid lesion or rash","","",,,""
drug abuse (cocaine),"depression, depressive or psychotic symptoms, sharp chest pain, abusing alcohol, hostile behavior, drug abuse, excessive anger, delusions or hallucinations, fears and phobias","","",,,""
decubitus ulcer,"difficulty speaking, skin lesion, skin on leg or foot looks infected, incontinence of stool","","",,,""
thyroid cancer,"difficulty in swallowing, swollen lymph nodes, neck mass, fatigue","","",,,""
hepatitis due to a toxin,"depression, jaundice, sharp abdominal pain, feeling ill, vomiting, nausea, rectal bleeding, itching of skin","","",,,""
chronic inflammatory demyelinating polyneuropathy (cidp),"dizziness, problems with movement, weakness, loss of sensation","","",,,""
myositis,"leg pain, hip pain, headache, knee pain, problems with movement, loss of sensation","","",,,""
parathyroid adenoma,"anxiety and nervousness, throat feels tight, disturbance of memory, shoulder pain","","",,,""
atrial flutter,"shortness of breath, sharp chest pain, chest tightness, palpitations, irregular heartbeat, frequent urination, swollen lymph nodes, increased heart rate","","",,,""
osteochondroma,"lower abdominal pain, lip swelling, abnormal appearing skin, skin lesion, skin growth, knee pain, foot or toe pain","","",,,""
orthostatic hypotension,"sharp chest pain, dizziness, abnormal involuntary movements, irregular heartbeat, fainting, feeling ill, headache, weakness","","",,,""
ovarian cyst,"sharp abdominal pain, vomiting, nausea, lower abdominal pain, vaginal discharge, intermenstrual bleeding, pelvic pain, burning abdominal pain, painful menstruation","","",,,""
stricture of the esophagus,"sharp chest pain, difficulty in swallowing, vomiting, problems with movement, heartburn, regurgitation.1","","",,,""
testicular disorder,"hoarse voice, symptoms of the scrotum and testes, impotence, fatigue, loss of sex drive","","",,,""
primary thrombocythemia,"dizziness, flatulence, fatigue","","",,,""
labyrinthitis,"dizziness, diminished hearing, vomiting, headache, nausea, ear pain, plugged feeling in ear, spots or clouds in vision, loss of sensation, sweating","","",,,""
ovarian torsion,"skin swelling, groin mass, sharp abdominal pain, lower abdominal pain, pelvic pain, ache all over","","",,,""
trichomonas infection,"sharp abdominal pain, vomiting, nausea, vaginal itching, lower abdominal pain, vaginal discharge, pain during pregnancy, unpredictable menstruation","","",,,""
pancreatic cancer,"jaundice, sharp abdominal pain, nausea, diarrhea, arm swelling, ache all over, stomach bloating","","",,,""
heart attack,"shortness of breath, sharp chest pain, chest tightness, irregular heartbeat, fainting, nausea, arm pain, heartburn, increased heart rate, burning chest pain, sweating","","",,,""
diabetic peripheral neuropathy,"leg pain, skin lesion, foot or toe pain, problems with movement, foot or toe swelling, loss of sensation, paresthesia, lymphedema, foot or toe stiffness or tightness","","",,,""
lung contusion,"shortness of breath, sharp chest pain, back pain, ache all over","","",,,""
myelodysplastic syndrome,"difficulty speaking, chills, fatigue","","",,,""
fracture of the finger,"hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, foot or toe pain, foot or toe swelling","","",,,""
venous insufficiency,"leg pain, abnormal appearing skin, skin lesion, leg cramps or spasms, lymphedema, skin on leg or foot looks infected, fluid retention, burning chest pain","","",,,""
heart contusion,"depression, elbow weakness","","",,,""
perirectal infection,"skin swelling, swelling of scrotum, pain in testicles, abnormal appearing skin, skin lesion, pain of the anus","","",,,""
hydronephrosis,"suprapubic pain, pain in testicles, sharp abdominal pain, vomiting, nausea, lower abdominal pain, back pain, side pain","","",,,""
wernicke korsakoff syndrome,"anxiety and nervousness, depressive or psychotic symptoms, abusing alcohol","","",,,""
conjunctivitis due to virus,"cough, nasal congestion, white discharge from eye, diminished vision, pain in eye, eye redness, lacrimation, itchiness of eye, fever, swollen eye","","",,,""
rectal disorder,"blood in stool, sharp abdominal pain, diarrhea, pain of the anus, burning abdominal pain, heartburn, cramps and spasms, melena, rectal bleeding, constipation, itching of the anus","","",,,""
menopause,"vaginal itching, involuntary urination, hot flashes, absence of menstruation, unpredictable menstruation, sweating","","",,,""
idiopathic absence of menstruation,"sharp abdominal pain, nausea, vaginal itching, lower abdominal pain, pelvic pain, heartburn, pain or soreness of breast, absence of menstruation, long menstrual periods","","",,,""
toxoplasmosis,"emotional symptoms, diminished vision","","",,,""
ear drum damage,"cough, nasal congestion, diminished hearing, pus draining from ear, ear pain, ringing in ear, plugged feeling in ear, fluid in ear, pulling at ears, redness in ear, bleeding from ear","","",,,""
paronychia,"hand or finger pain, hand or finger swelling, abnormal appearing skin, foot or toe pain, foot or toe swelling, hand or finger lump or mass, skin on leg or foot looks infected, sinus congestion, skin on arm or hand looks infected","","",,,""
spondylolisthesis,"leg pain, hip pain, back pain, neck pain, low back pain, problems with movement, loss of sensation, paresthesia, leg cramps or spasms, leg weakness","","",,,""
drug abuse (barbiturates),"anxiety and nervousness, depression, abnormal involuntary movements, hostile behavior, drug abuse, delusions or hallucinations","","",,,""
goiter,"lump in throat, difficulty in swallowing, hot flashes, weight gain, fatigue","","",,,""
cirrhosis,"shortness of breath, blood in stool, sharp abdominal pain, vomiting blood, regurgitation, peripheral edema, upper abdominal pain, abdominal distention, regurgitation.1","","",,,""
empyema,"shortness of breath, sharp chest pain, cough, leg pain","","",,,""
open wound of the shoulder,"abusing alcohol, arm pain, shoulder pain","","",,,""
bone disorder,"difficulty speaking, leg pain, back pain, knee pain, bones are painful, leg cramps or spasms, muscle stiffness or tightness","","",,,""
vasculitis,"dizziness, leg pain, headache, skin lesion, foot or toe swelling, leg stiffness or tightness, lymphedema, skin rash","","",,,""
hammer toe,"skin lesion, skin growth, foot or toe pain, loss of sensation","","",,,""
anemia due to malignancy,"shortness of breath, difficulty in swallowing, flatulence, fatigue","","",,,""
acariasis,"emotional symptoms, swelling of scrotum, itching of skin, skin rash","","",,,""
hypovolemia,"dizziness, fainting, sharp abdominal pain, feeling ill, vomiting, nausea, diarrhea, decreased appetite, fever","","",,,""
injury to the arm,"hand or finger pain, wrist pain, hand or finger swelling, arm pain, wrist swelling, arm stiffness or tightness, arm swelling, bones are painful, elbow pain, loss of sensation, joint pain, elbow swelling","","",,,""
tic (movement) disorder,"depressive or psychotic symptoms, abnormal involuntary movements, headache, symptoms of eye, abnormal movement of eyelid, problems with movement","","",,,""
vacterl syndrome,"suprapubic pain, emotional symptoms","","",,,""
oral mucosal lesion,"sore throat, cough, lip swelling, toothache, facial pain, mouth ulcer, fever, tongue lesions, gum pain, mouth pain","","",,,""
malaria,"fainting, headache, knee lump or mass, fever","","",,,""
subarachnoid hemorrhage,"dizziness, fainting, vomiting, headache, symptoms of eye, loss of sensation","","",,,""
cholesteatoma,"nasal congestion, diminished hearing, pus draining from ear, muscle swelling","","",,,""
ankylosing spondylitis,"leg pain, hip pain, back pain, low back pain, knee pain, elbow pain, paresthesia, ache all over, lower body pain, stiffness all over","","",,,""
open wound of the hand,"hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, skin on arm or hand looks infected","","",,,""
common cold,"sore throat, cough, nasal congestion, vomiting, headache, wheezing, ear pain, fever, chills, coryza, flu-like syndrome","","",,,""
hirsutism,"abnormal appearing skin, acne or pimples, apnea, unwanted hair","","",,,""
bladder cancer,"retention of urine, groin mass, mass in scrotum, blood in urine, excessive urination at night, symptoms of bladder, bladder mass","","",,,""
malignant hypertension,"shortness of breath, depressive or psychotic symptoms, sharp chest pain, insomnia, vomiting, headache, lower body pain","","",,,""
smoking or tobacco addiction,"shortness of breath, sharp chest pain, cough, abusing alcohol, drug abuse, headache, smoking problems, excessive anger, coughing up sputum, hemoptysis, hurts to breath","","",,,""
otosclerosis,"dizziness, diminished hearing, emotional symptoms","","",,,""
viral hepatitis,"abusing alcohol, sharp abdominal pain, hand or finger stiffness or tightness, stomach bloating, melena","","",,,""
irritable bowel syndrome,"anxiety and nervousness, insomnia, flatulence, sharp abdominal pain, nausea, diarrhea, lower abdominal pain, burning abdominal pain, upper abdominal pain","","",,,""
atrial fibrillation,"shortness of breath, sharp chest pain, dizziness, palpitations, irregular heartbeat, decreased heart rate, increased heart rate, fatigue","","",,,""
female genitalia infection,"skin swelling, vaginal discharge, skin lesion, vaginal pain, vulvar irritation, groin pain, vulvar sore","","",,,""
mumps,"sore throat, swollen lymph nodes, ear pain, shoulder swelling","","",,,""
esophageal cancer,"shortness of breath, hoarse voice, sharp abdominal pain, decreased appetite, stomach bloating","","",,,""
lice,"cough, nasal congestion, itching of skin, itchy scalp, leg lump or mass","","",,,""
open wound from surgical incision,"skin swelling, flatulence, skin lesion","","",,,""
tietze syndrome,"shortness of breath, sharp chest pain, chest tightness, cough, nausea, loss of sensation, difficulty breathing, rib pain","","",,,""
acute respiratory distress syndrome (ards),"shortness of breath, depressive or psychotic symptoms, sharp chest pain, chest tightness, cough, wheezing, fever, difficulty breathing, chills","","",,,""
choledocholithiasis,"sharp chest pain, jaundice, sharp abdominal pain, vomiting, nausea, decreased appetite, side pain, upper abdominal pain, chills","","",,,""
injury of the ankle,"leg pain, wrist swelling, foot or toe pain, ankle pain, foot or toe swelling, joint pain, ankle swelling, foot or toe weakness","","",,,""
reactive arthritis,"hip pain, knee lump or mass","","",,,""
amyloidosis,"anxiety and nervousness, shortness of breath, wrist weakness","","",,,""
multiple myeloma,"lip swelling, problems with movement, weakness, disturbance of memory, fatigue","","",,,""
spondylosis,"leg pain, hip pain, arm pain, back pain, neck pain, low back pain, knee pain, loss of sensation, paresthesia, shoulder pain, ache all over, lower body pain","","",,,""
spondylitis,"leg pain, hip pain, back pain, neck pain, low back pain, side pain, lower body pain, stiffness all over, back mass or lump","","",,,""
chalazion,"skin growth, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, lacrimation, mass on eyelid, swollen eye, eyelid swelling","","",,,""
spherocytosis,"cough, elbow weakness, skin rash","","",,,""
migraine,"dizziness, vomiting, headache, nausea, diminished vision, spots or clouds in vision, blindness, symptoms of the face, disturbance of memory","","",,,""
cat scratch disease,"skin swelling, groin mass, itchy eyelid","","",,,""
sickle cell anemia,"leg pain, dry lips, back pain, fever, ache all over, joint pain, temper problems, pulling at ears","","",,,""
trigeminal neuralgia,"dizziness, abnormal involuntary movements, headache, toothache, facial pain, pain in eye, symptoms of the face","","",,,""
amblyopia,"pus draining from ear, eye deviation, diminished vision, cross-eyed, pain in eye","","",,,""
pneumoconiosis,"shortness of breath, dizziness, cough, fever","","",,,""
conjunctivitis due to bacteria,"sore throat, cough, nasal congestion, abnormal appearing skin, eye redness, fever","","",,,""
conjunctivitis due to allergy,"cough, nasal congestion, diminished vision, symptoms of eye, pain in eye, eye redness, lacrimation, itchiness of eye, eye burns or stings, allergic reaction, swollen eye, sneezing","","",,,""
tendinitis,"leg pain, hip pain, hand or finger pain, wrist pain, hand or finger swelling, arm pain, knee pain, foot or toe pain, ankle pain, shoulder pain","","",,,""
diabetic ketoacidosis,"depressive or psychotic symptoms, sharp chest pain, sharp abdominal pain, vomiting, nausea, diarrhea, frequent urination, weakness, decreased appetite, fluid retention","","",,,""
fungal infection of the hair,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, pelvic pain, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation, itchy scalp, skin rash","","",,,""
erythema multiforme,"difficulty in swallowing, vomiting, mouth ulcer, fever, skin rash","","",,,""
rheumatoid arthritis,"hand or finger pain, wrist pain, hand or finger swelling, wrist swelling, peripheral edema, knee pain, ache all over, joint pain, elbow swelling, joint swelling","","",,,""
hypocalcemia,"shortness of breath, sharp chest pain, abnormal involuntary movements, constipation, leg weakness","","",,,""
pyelonephritis,"suprapubic pain, sharp abdominal pain, vomiting, nausea, painful urination, frequent urination, lower abdominal pain, blood in urine, back pain, low back pain, side pain","","",,,""
persistent vomiting of unknown cause,"dizziness, abnormal involuntary movements, sharp abdominal pain, vomiting, nausea, diarrhea, fever","","",,,""
impulse control disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, excessive appetite, excessive anger, delusions or hallucinations, temper problems","","",,,""
inguinal hernia,"groin mass, symptoms of the scrotum and testes, swelling of scrotum, pain in testicles, mass in scrotum, sharp abdominal pain, lower abdominal pain, ache all over, swollen abdomen, groin pain","","",,,""
thyroid nodule,"hoarse voice, diminished hearing, throat feels tight, difficulty in swallowing, back weakness, neck mass, fatigue","","",,,""
pericarditis,"shortness of breath, sharp chest pain, chest tightness, palpitations, sharp abdominal pain, lower body pain","","",,,""
astigmatism,"eye deviation, diminished vision, double vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision, lacrimation","","",,,""
neuropathy due to drugs,"cough, vomiting, foot or toe pain, problems with movement, loss of sensation","","",,,""
mittelschmerz,"sharp abdominal pain, vomiting, diarrhea, lower abdominal pain, pelvic pain, painful menstruation","","",,,""
ovarian cancer,"groin mass, sharp abdominal pain, decreased appetite, stomach bloating","","",,,""
retinopathy due to high blood pressure,"pus draining from ear, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision","","",,,""
pulmonic valve disease,"shortness of breath, emotional symptoms","","",,,""
hypercholesterolemia,"sharp chest pain, palpitations, hand or finger stiffness or tightness, weight gain, excessive urination at night","","",,,""
skin disorder,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, skin moles, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation","","",,,""
muscular dystrophy,"cough, nasal congestion, hip pain, feeling cold, fatigue","","",,,""
overflow incontinence,"retention of urine, suprapubic pain, involuntary urination, blood in urine, hand or finger stiffness or tightness, impotence, symptoms of bladder","","",,,""
neuralgia,"leg pain, hip pain, headache, arm pain, back pain, neck pain, low back pain, loss of sensation, shoulder pain, ache all over","","",,,""
